class edu.neu.info6205.model.Virus
name,SARS
R,0.0
superSpreaderRate,0.01
infectiousRadius,100.0
infectiousRate,0.4
recoveryRate,0.99
incidenceRate,0.8
latentPeriod,14.0
infectiousPeriod,20.0
class edu.neu.info6205.model.Residence
name,Boston
virus,edu.neu.info6205.model.Virus@29453f44
population,617594
density,5381.0
radius,10713.220361013016
residents,[Ledu.neu.info6205.model.Person;@5cad8086
susceptible,617584
exposed,0
infected,10
removed,0
dead,0
drawRadius,400.0
drawX,410.0
drawY,410.0
scale,0.03733704586677399
random,java.util.Random@61bbe9ba
class edu.neu.info6205.model.Measure
name,Boston-Measure
enable,true
barrierRate,0.5
maskUseRate,0.5
maskEffectiveness,0.8
contactTracking,0.3
vaccine,0
vaccineEffectiveness,0.8
virusTesting,0
quarantineRate,0.5
Days           ,Susceptible    ,Exposed        ,Infected       ,Recovered      ,Dead           ,R         ,K         
1              ,617581         ,3              ,10             ,0              ,0              ,0.3000    ,0.2308    
2              ,617578         ,6              ,10             ,0              ,0              ,0.6000    ,0.1875    
3              ,617575         ,9              ,10             ,0              ,0              ,0.9000    ,0.2105    
4              ,617573         ,11             ,10             ,0              ,0              ,1.1000    ,0.1905    
5              ,617569         ,15             ,10             ,0              ,0              ,1.5000    ,0.1600    
6              ,617568         ,16             ,10             ,0              ,0              ,1.6000    ,0.1923    
7              ,617567         ,17             ,10             ,0              ,0              ,1.7000    ,0.2222    
8              ,617566         ,18             ,10             ,0              ,0              ,1.8000    ,0.2143    
9              ,617566         ,18             ,10             ,0              ,0              ,1.8000    ,0.2143    
10             ,617566         ,18             ,10             ,0              ,0              ,1.8000    ,0.2143    
11             ,617564         ,20             ,10             ,0              ,0              ,2.0000    ,0.2000    
12             ,617560         ,24             ,10             ,0              ,0              ,2.4000    ,0.2353    
13             ,617557         ,27             ,10             ,0              ,0              ,2.7000    ,0.2432    
14             ,617556         ,28             ,10             ,0              ,0              ,2.8000    ,0.2368    
15             ,617554         ,27             ,13             ,0              ,0              ,2.0769    ,0.2250    
16             ,617553         ,25             ,16             ,0              ,0              ,1.5625    ,0.2195    
17             ,617551         ,24             ,19             ,0              ,0              ,1.2632    ,0.2326    
18             ,617550         ,23             ,21             ,0              ,0              ,1.0952    ,0.2500    
19             ,617549         ,20             ,25             ,0              ,0              ,0.8000    ,0.2667    
20             ,617547         ,21             ,26             ,0              ,0              ,0.8077    ,0.2979    
21             ,617538         ,29             ,27             ,0              ,0              ,1.0741    ,0.3214    
22             ,617536         ,30             ,28             ,0              ,0              ,1.0714    ,0.3103    
23             ,617531         ,35             ,28             ,0              ,0              ,1.2500    ,0.3016    
24             ,617526         ,40             ,28             ,0              ,0              ,1.4286    ,0.2941    
25             ,617521         ,43             ,30             ,0              ,0              ,1.4333    ,0.3151    
26             ,617517         ,43             ,34             ,0              ,0              ,1.2647    ,0.2987    
27             ,617513         ,44             ,37             ,0              ,0              ,1.1892    ,0.3086    
28             ,617508         ,48             ,38             ,0              ,0              ,1.2632    ,0.3023    
29             ,617504         ,50             ,40             ,0              ,0              ,1.2500    ,0.2889    
30             ,617499         ,54             ,41             ,0              ,0              ,1.3171    ,0.2737    
31             ,617496         ,55             ,43             ,0              ,0              ,1.2791    ,0.2653    
32             ,617492         ,58             ,44             ,0              ,0              ,1.3182    ,0.2647    
33             ,617489         ,60             ,45             ,0              ,0              ,1.3333    ,0.2571    
34             ,617486         ,61             ,47             ,0              ,0              ,1.2979    ,0.2593    
35             ,617483         ,55             ,43             ,13             ,0              ,1.2791    ,0.2857    
36             ,617477         ,59             ,42             ,16             ,0              ,1.4048    ,0.2970    
37             ,617472         ,59             ,44             ,19             ,0              ,1.3409    ,0.3301    
38             ,617466         ,60             ,47             ,21             ,0              ,1.2766    ,0.3271    
39             ,617462         ,59             ,48             ,25             ,0              ,1.2292    ,0.3551    
40             ,617461         ,56             ,51             ,26             ,0              ,1.0980    ,0.3645    
41             ,617456         ,57             ,54             ,27             ,0              ,1.0556    ,0.3604    
42             ,617452         ,56             ,58             ,28             ,0              ,0.9655    ,0.3596    
43             ,617445         ,59             ,62             ,28             ,0              ,0.9516    ,0.3719    
44             ,617436         ,63             ,67             ,28             ,0              ,0.9403    ,0.3769    
45             ,617428         ,68             ,68             ,30             ,0              ,1.0000    ,0.3750    
46             ,617418         ,74             ,68             ,34             ,0              ,1.0882    ,0.3873    
47             ,617412         ,77             ,68             ,37             ,0              ,1.1324    ,0.3724    
48             ,617408         ,78             ,70             ,38             ,0              ,1.1143    ,0.3851    
49             ,617403         ,80             ,71             ,40             ,0              ,1.1268    ,0.3709    
50             ,617400         ,77             ,76             ,41             ,0              ,1.0132    ,0.3791    
51             ,617395         ,77             ,79             ,43             ,0              ,0.9747    ,0.3910    
52             ,617380         ,86             ,84             ,44             ,0              ,1.0238    ,0.4000    
53             ,617369         ,93             ,87             ,45             ,0              ,1.0690    ,0.3889    
54             ,617359         ,102            ,86             ,47             ,0              ,1.1860    ,0.3989    
55             ,617349         ,107            ,82             ,56             ,0              ,1.3049    ,0.4074    
56             ,617343         ,109            ,84             ,58             ,0              ,1.2976    ,0.4093    
57             ,617339         ,106            ,86             ,63             ,0              ,1.2326    ,0.4115    
58             ,617333         ,103            ,90             ,68             ,0              ,1.1444    ,0.4145    
59             ,617321         ,107            ,93             ,73             ,0              ,1.1505    ,0.4250    
60             ,617311         ,107            ,99             ,77             ,0              ,1.0808    ,0.4126    
61             ,617303         ,109            ,101            ,81             ,0              ,1.0792    ,0.4238    
62             ,617289         ,119            ,100            ,86             ,0              ,1.1900    ,0.4201    
63             ,617276         ,127            ,101            ,89             ,1              ,1.2574    ,0.4254    
64             ,617266         ,134            ,99             ,94             ,1              ,1.3535    ,0.4249    
65             ,617255         ,140            ,101            ,97             ,1              ,1.3861    ,0.4274    
66             ,617245         ,135            ,112            ,101            ,1              ,1.2054    ,0.4251    
67             ,617233         ,136            ,120            ,104            ,1              ,1.1333    ,0.4180    
68             ,617220         ,139            ,127            ,107            ,1              ,1.0945    ,0.4248    
69             ,617204         ,145            ,134            ,110            ,1              ,1.0821    ,0.4229    
70             ,617191         ,152            ,134            ,116            ,1              ,1.1343    ,0.4266    
71             ,617173         ,166            ,133            ,121            ,1              ,1.2481    ,0.4214    
72             ,617154         ,179            ,133            ,127            ,1              ,1.3459    ,0.4263    
73             ,617133         ,188            ,141            ,131            ,1              ,1.3333    ,0.4316    
74             ,617115         ,196            ,150            ,132            ,1              ,1.3067    ,0.4364    
75             ,617091         ,212            ,153            ,137            ,1              ,1.3856    ,0.4466    
76             ,617069         ,220            ,163            ,141            ,1              ,1.3497    ,0.4439    
77             ,617055         ,221            ,169            ,148            ,1              ,1.3077    ,0.4513    
78             ,617036         ,230            ,170            ,157            ,1              ,1.3529    ,0.4500    
79             ,617018         ,237            ,173            ,165            ,1              ,1.3699    ,0.4488    
80             ,617000         ,245            ,173            ,175            ,1              ,1.4162    ,0.4474    
81             ,616973         ,260            ,179            ,181            ,1              ,1.4525    ,0.4442    
82             ,616963         ,257            ,188            ,185            ,1              ,1.3670    ,0.4404    
83             ,616945         ,259            ,199            ,190            ,1              ,1.3015    ,0.4367    
84             ,616926         ,265            ,209            ,193            ,1              ,1.2679    ,0.4409    
85             ,616904         ,269            ,222            ,198            ,1              ,1.2117    ,0.4440    
86             ,616877         ,277            ,226            ,213            ,1              ,1.2257    ,0.4493    
87             ,616853         ,280            ,236            ,224            ,1              ,1.1864    ,0.4574    
88             ,616823         ,292            ,244            ,233            ,2              ,1.1967    ,0.4590    
89             ,616796         ,295            ,258            ,243            ,2              ,1.1434    ,0.4611    
90             ,616760         ,309            ,274            ,249            ,2              ,1.1277    ,0.4563    
91             ,616725         ,330            ,284            ,253            ,2              ,1.1620    ,0.4560    
92             ,616685         ,351            ,297            ,259            ,2              ,1.1818    ,0.4568    
93             ,616656         ,362            ,303            ,270            ,3              ,1.1947    ,0.4571    
94             ,616624         ,376            ,311            ,279            ,4              ,1.2090    ,0.4556    
