class edu.neu.info6205.model.Virus
name,Covid-19
R,0.0
superSpreaderRate,0.01
infectiousRadius,200.0
infectiousRate,0.4
recoveryRate,0.99
incidenceRate,0.8
latentPeriod,14.0
infectiousPeriod,20.0
class edu.neu.info6205.model.Residence
name,Boston
virus,edu.neu.info6205.model.Virus@29453f44
population,617594
density,5381.0
radius,10713.220361013016
residents,[Ledu.neu.info6205.model.Person;@5cad8086
susceptible,617584
exposed,0
infected,10
removed,0
dead,0
drawRadius,400.0
drawX,410.0
drawY,410.0
scale,0.03733704586677399
random,java.util.Random@61bbe9ba
class edu.neu.info6205.model.Measure
name,Boston-Measure
enable,true
barrierRate,0.1
maskUseRate,0.5
maskEffectiveness,0.8
contactTracking,0.3
vaccine,0
vaccineEffectiveness,0.8
virusTesting,0
quarantineRate,0.5
Days           ,Susceptible    ,Exposed        ,Infected       ,Recovered      ,Dead           ,R         ,K         
1              ,617581         ,3              ,10             ,0              ,0              ,0.3000    ,0.1538    
2              ,617579         ,5              ,10             ,0              ,0              ,0.5000    ,0.2667    
3              ,617572         ,12             ,10             ,0              ,0              ,1.2000    ,0.2727    
4              ,617570         ,14             ,10             ,0              ,0              ,1.4000    ,0.2500    
5              ,617568         ,16             ,10             ,0              ,0              ,1.6000    ,0.2308    
6              ,617564         ,20             ,10             ,0              ,0              ,2.0000    ,0.2000    
7              ,617560         ,24             ,10             ,0              ,0              ,2.4000    ,0.2059    
8              ,617560         ,24             ,10             ,0              ,0              ,2.4000    ,0.2059    
9              ,617559         ,25             ,10             ,0              ,0              ,2.5000    ,0.2000    
10             ,617557         ,27             ,10             ,0              ,0              ,2.7000    ,0.2162    
11             ,617554         ,30             ,10             ,0              ,0              ,3.0000    ,0.2000    
12             ,617551         ,33             ,10             ,0              ,0              ,3.3000    ,0.1860    
13             ,617549         ,35             ,10             ,0              ,0              ,3.5000    ,0.1778    
14             ,617548         ,36             ,10             ,0              ,0              ,3.6000    ,0.1739    
15             ,617543         ,38             ,13             ,0              ,0              ,2.9231    ,0.1569    
16             ,617541         ,38             ,15             ,0              ,0              ,2.5333    ,0.1698    
17             ,617537         ,35             ,22             ,0              ,0              ,1.5909    ,0.1754    
