class edu.neu.info6205.model.Virus
name,Covid-19
R,0.0
superSpreaderRate,0.01
infectiousRadius,200.0
infectiousRate,0.4
recoveryRate,0.99
incidenceRate,0.8
latentPeriod,14.0
infectiousPeriod,20.0
class edu.neu.info6205.model.Residence
name,Boston
virus,edu.neu.info6205.model.Virus@29453f44
population,617594
density,5381.0
radius,10713.220361013016
residents,[Ledu.neu.info6205.model.Person;@5cad8086
susceptible,617584
exposed,0
infected,10
removed,0
dead,0
drawRadius,400.0
drawX,410.0
drawY,410.0
scale,0.03733704586677399
random,java.util.Random@61bbe9ba
class edu.neu.info6205.model.Measure
name,Boston-Measure
enable,false
barrierRate,0.5
maskUseRate,0.5
maskEffectiveness,0.8
contactTracking,0.3
vaccine,0
vaccineEffectiveness,0.8
virusTesting,0
quarantineRate,0.5
Days           ,Susceptible    ,Exposed        ,Infected       ,Recovered      ,Dead           ,R         ,K         
1              ,617581         ,3              ,10             ,0              ,0              ,0.3000    ,0.1538    
2              ,617576         ,8              ,10             ,0              ,0              ,0.8000    ,0.3333    
3              ,617572         ,12             ,10             ,0              ,0              ,1.2000    ,0.3182    
4              ,617567         ,17             ,10             ,0              ,0              ,1.7000    ,0.3333    
5              ,617562         ,22             ,10             ,0              ,0              ,2.2000    ,0.2813    
6              ,617561         ,23             ,10             ,0              ,0              ,2.3000    ,0.2727    
7              ,617557         ,27             ,10             ,0              ,0              ,2.7000    ,0.2432    
8              ,617553         ,31             ,10             ,0              ,0              ,3.1000    ,0.2439    
9              ,617552         ,32             ,10             ,0              ,0              ,3.2000    ,0.2381    
10             ,617549         ,35             ,10             ,0              ,0              ,3.5000    ,0.2222    
11             ,617545         ,39             ,10             ,0              ,0              ,3.9000    ,0.2041    
12             ,617540         ,44             ,10             ,0              ,0              ,4.4000    ,0.1852    
13             ,617535         ,49             ,10             ,0              ,0              ,4.9000    ,0.1695    
14             ,617531         ,53             ,10             ,0              ,0              ,5.3000    ,0.1587    
15             ,617531         ,50             ,13             ,0              ,0              ,3.8462    ,0.1587    
16             ,617526         ,50             ,18             ,0              ,0              ,2.7778    ,0.1765    
17             ,617522         ,50             ,22             ,0              ,0              ,2.2727    ,0.2083    
18             ,617522         ,45             ,27             ,0              ,0              ,1.6667    ,0.2083    
19             ,617516         ,46             ,32             ,0              ,0              ,1.4375    ,0.2179    
20             ,617508         ,53             ,33             ,0              ,0              ,1.6061    ,0.2442    
21             ,617500         ,57             ,37             ,0              ,0              ,1.5405    ,0.2553    
22             ,617488         ,65             ,41             ,0              ,0              ,1.5854    ,0.2642    
23             ,617477         ,75             ,42             ,0              ,0              ,1.7857    ,0.2479    
24             ,617468         ,81             ,45             ,0              ,0              ,1.8000    ,0.2381    
25             ,617451         ,94             ,49             ,0              ,0              ,1.9184    ,0.2517    
26             ,617435         ,105            ,54             ,0              ,0              ,1.9444    ,0.2642    
27             ,617419         ,116            ,59             ,0              ,0              ,1.9661    ,0.2629    
28             ,617400         ,131            ,63             ,0              ,0              ,2.0794    ,0.2526    
29             ,617383         ,148            ,63             ,0              ,0              ,2.3492    ,0.2370    
30             ,617366         ,160            ,68             ,0              ,0              ,2.3529    ,0.2368    
31             ,617348         ,174            ,72             ,0              ,0              ,2.4167    ,0.2317    
32             ,617328         ,194            ,72             ,0              ,0              ,2.6944    ,0.2218    
33             ,617315         ,201            ,78             ,0              ,0              ,2.5769    ,0.2222    
34             ,617295         ,213            ,86             ,0              ,0              ,2.4767    ,0.2207    
35             ,617274         ,226            ,81             ,13             ,0              ,2.7901    ,0.2215    
36             ,617253         ,235            ,88             ,18             ,0              ,2.6705    ,0.2136    
