class edu.neu.info6205.model.Virus
name,Covid-19
R,0.0
superSpreaderRate,0.01
infectiousRadius,200.0
infectiousRate,0.4
recoveryRate,0.99
incidenceRate,0.8
latentPeriod,14.0
infectiousPeriod,20.0
class edu.neu.info6205.model.Residence
name,Boston
virus,edu.neu.info6205.model.Virus@29453f44
population,617594
density,5381.0
radius,10713.220361013016
residents,[Ledu.neu.info6205.model.Person;@5cad8086
susceptible,617584
exposed,0
infected,10
removed,0
dead,0
drawRadius,400.0
drawX,410.0
drawY,410.0
scale,0.03733704586677399
random,java.util.Random@61bbe9ba
class edu.neu.info6205.model.Measure
name,Boston-Measure
enable,true
barrierRate,0.5
maskUseRate,0.5
maskEffectiveness,0.8
contactTracking,0.3
vaccine,61759
vaccineEffectiveness,0.8
virusTesting,0
quarantineRate,0.5
Days           ,Susceptible    ,Exposed        ,Infected       ,Recovered      ,Dead           ,R         ,K         
1              ,617581         ,3              ,10             ,0              ,0              ,0.3000    ,0.1538    
2              ,568138         ,5              ,10             ,49441          ,0              ,0.5000    ,0.2667    
3              ,518803         ,11             ,10             ,98770          ,0              ,1.1000    ,0.3333    
4              ,469407         ,14             ,10             ,148163         ,0              ,1.4000    ,0.3750    
5              ,420141         ,16             ,10             ,197427         ,0              ,1.6000    ,0.3846    
6              ,370819         ,19             ,10             ,246746         ,0              ,1.9000    ,0.3448    
7              ,321471         ,25             ,10             ,296088         ,0              ,2.5000    ,0.2857    
8              ,272121         ,29             ,10             ,345434         ,0              ,2.9000    ,0.2564    
9              ,222678         ,30             ,10             ,394876         ,0              ,3.0000    ,0.2500    
10             ,173434         ,32             ,10             ,444118         ,0              ,3.2000    ,0.2381    
11             ,124006         ,32             ,10             ,493546         ,0              ,3.2000    ,0.2381    
12             ,74568          ,32             ,10             ,542984         ,0              ,3.2000    ,0.2381    
13             ,24963          ,33             ,10             ,592588         ,0              ,3.3000    ,0.2326    
14             ,5079           ,33             ,10             ,612472         ,0              ,3.3000    ,0.2326    
15             ,1025           ,30             ,13             ,616526         ,0              ,2.3077    ,0.2326    
16             ,210            ,28             ,15             ,617341         ,0              ,1.8667    ,0.2326    
17             ,40             ,22             ,21             ,617511         ,0              ,1.0476    ,0.2326    
18             ,9              ,19             ,24             ,617542         ,0              ,0.7917    ,0.2326    
19             ,0              ,17             ,26             ,617551         ,0              ,0.6538    ,0.2326    
20             ,0              ,14             ,29             ,617551         ,0              ,0.4828    ,0.2326    
21             ,0              ,8              ,35             ,617551         ,0              ,0.2286    ,0.2326    
22             ,0              ,4              ,39             ,617551         ,0              ,0.1026    ,0.2326    
23             ,0              ,3              ,40             ,617551         ,0              ,0.0750    ,0.2326    
24             ,0              ,1              ,42             ,617551         ,0              ,0.0238    ,0.2326    
25             ,0              ,1              ,42             ,617551         ,0              ,0.0238    ,0.2326    
26             ,0              ,1              ,42             ,617551         ,0              ,0.0238    ,0.2326    
27             ,0              ,0              ,43             ,617551         ,0              ,0.0000    ,0.2326    
28             ,0              ,0              ,43             ,617551         ,0              ,0.0000    ,0.2326    
29             ,0              ,0              ,43             ,617551         ,0              ,0.0000    ,0.2326    
30             ,0              ,0              ,43             ,617551         ,0              ,0.0000    ,0.2326    
31             ,0              ,0              ,43             ,617551         ,0              ,0.0000    ,0.2326    
32             ,0              ,0              ,43             ,617551         ,0              ,0.0000    ,0.2326    
33             ,0              ,0              ,43             ,617551         ,0              ,0.0000    ,0.2326    
34             ,0              ,0              ,43             ,617551         ,0              ,0.0000    ,0.2326    
35             ,0              ,0              ,30             ,617564         ,0              ,0.0000    ,0.3000    
36             ,0              ,0              ,28             ,617566         ,0              ,0.0000    ,0.3214    
37             ,0              ,0              ,22             ,617571         ,1              ,0.0000    ,0.3636    
38             ,0              ,0              ,19             ,617574         ,1              ,0.0000    ,0.3684    
39             ,0              ,0              ,17             ,617576         ,1              ,0.0000    ,0.3529    
40             ,0              ,0              ,14             ,617579         ,1              ,0.0000    ,0.4286    
41             ,0              ,0              ,8              ,617585         ,1              ,0.0000    ,0.5000    
42             ,0              ,0              ,4              ,617589         ,1              ,0.0000    ,0.7500    
43             ,0              ,0              ,3              ,617590         ,1              ,0.0000    ,0.6667    
44             ,0              ,0              ,1              ,617592         ,1              ,0.0000    ,0.0000    
45             ,0              ,0              ,1              ,617592         ,1              ,0.0000    ,0.0000    
46             ,0              ,0              ,1              ,617592         ,1              ,0.0000    ,0.0000    
47             ,0              ,0              ,0              ,617593         ,1              ,0.0000    ,0.0000    
