class edu.neu.info6205.model.Virus
name,Covid-19
R,0.0
superSpreaderRate,0.01
infectiousRadius,200.0
infectiousRate,0.4
recoveryRate,0.99
incidenceRate,0.8
latentPeriod,14.0
infectiousPeriod,20.0
class edu.neu.info6205.model.Residence
name,Boston
virus,edu.neu.info6205.model.Virus@29453f44
population,617594
density,5381.0
radius,10713.220361013016
residents,[Ledu.neu.info6205.model.Person;@5cad8086
susceptible,617584
exposed,0
infected,10
removed,0
dead,0
drawRadius,400.0
drawX,410.0
drawY,410.0
scale,0.03733704586677399
random,java.util.Random@61bbe9ba
class edu.neu.info6205.model.Measure
name,Boston-Measure
enable,true
barrierRate,0.5
maskUseRate,1.0
maskEffectiveness,0.8
contactTracking,0.3
vaccine,0
vaccineEffectiveness,0.8
virusTesting,0
quarantineRate,0.5
Days           ,Susceptible    ,Exposed        ,Infected       ,Recovered      ,Dead           ,R         ,K         
1              ,617583         ,1              ,10             ,0              ,0              ,0.1000    ,0.0909    
2              ,617580         ,4              ,10             ,0              ,0              ,0.4000    ,0.2857    
3              ,617579         ,5              ,10             ,0              ,0              ,0.5000    ,0.2667    
4              ,617579         ,5              ,10             ,0              ,0              ,0.5000    ,0.2667    
5              ,617579         ,5              ,10             ,0              ,0              ,0.5000    ,0.2667    
6              ,617579         ,5              ,10             ,0              ,0              ,0.5000    ,0.2667    
7              ,617579         ,5              ,10             ,0              ,0              ,0.5000    ,0.2667    
8              ,617578         ,6              ,10             ,0              ,0              ,0.6000    ,0.2500    
9              ,617576         ,8              ,10             ,0              ,0              ,0.8000    ,0.2222    
10             ,617574         ,10             ,10             ,0              ,0              ,1.0000    ,0.3000    
11             ,617574         ,10             ,10             ,0              ,0              ,1.0000    ,0.3000    
12             ,617573         ,11             ,10             ,0              ,0              ,1.1000    ,0.3333    
13             ,617573         ,11             ,10             ,0              ,0              ,1.1000    ,0.3333    
14             ,617572         ,12             ,10             ,0              ,0              ,1.2000    ,0.3182    
15             ,617571         ,12             ,11             ,0              ,0              ,1.0909    ,0.3043    
16             ,617570         ,10             ,14             ,0              ,0              ,0.7143    ,0.2917    
17             ,617569         ,10             ,15             ,0              ,0              ,0.6667    ,0.2800    
18             ,617567         ,12             ,15             ,0              ,0              ,0.8000    ,0.2963    
19             ,617566         ,13             ,15             ,0              ,0              ,0.8667    ,0.3214    
20             ,617565         ,14             ,15             ,0              ,0              ,0.9333    ,0.3103    
21             ,617565         ,14             ,15             ,0              ,0              ,0.9333    ,0.3103    
22             ,617565         ,13             ,16             ,0              ,0              ,0.8125    ,0.3103    
23             ,617562         ,14             ,18             ,0              ,0              ,0.7778    ,0.3125    
24             ,617561         ,13             ,20             ,0              ,0              ,0.6500    ,0.3030    
25             ,617560         ,14             ,20             ,0              ,0              ,0.7000    ,0.2941    
26             ,617558         ,15             ,21             ,0              ,0              ,0.7143    ,0.3056    
27             ,617556         ,17             ,21             ,0              ,0              ,0.8095    ,0.3421    
28             ,617553         ,19             ,22             ,0              ,0              ,0.8636    ,0.3659    
29             ,617551         ,20             ,23             ,0              ,0              ,0.8696    ,0.3488    
30             ,617548         ,22             ,24             ,0              ,0              ,0.9167    ,0.3261    
31             ,617544         ,25             ,25             ,0              ,0              ,1.0000    ,0.3400    
32             ,617542         ,25             ,27             ,0              ,0              ,0.9259    ,0.3269    
33             ,617539         ,27             ,28             ,0              ,0              ,0.9643    ,0.3455    
