class edu.neu.info6205.model.Virus
name,Covid-19
R,0.0
superSpreaderRate,0.01
infectiousRadius,200.0
infectiousRate,0.4
recoveryRate,0.99
incidenceRate,0.8
latentPeriod,14.0
infectiousPeriod,20.0
class edu.neu.info6205.model.Residence
name,Boston
virus,edu.neu.info6205.model.Virus@29453f44
population,617594
density,5381.0
radius,10713.220361013016
residents,[Ledu.neu.info6205.model.Person;@5cad8086
susceptible,617584
exposed,0
infected,10
removed,0
dead,0
drawRadius,400.0
drawX,410.0
drawY,410.0
scale,0.03733704586677399
random,java.util.Random@61bbe9ba
class edu.neu.info6205.model.Measure
name,Boston-Measure
enable,true
barrierRate,1.0
maskUseRate,0.5
maskEffectiveness,0.8
contactTracking,0.3
vaccine,0
vaccineEffectiveness,0.8
virusTesting,0
quarantineRate,0.5
Days           ,Susceptible    ,Exposed        ,Infected       ,Recovered      ,Dead           ,R         ,K         
1              ,617581         ,3              ,10             ,0              ,0              ,0.3000    ,0.1538    
2              ,617576         ,8              ,10             ,0              ,0              ,0.8000    ,0.2222    
3              ,617571         ,13             ,10             ,0              ,0              ,1.3000    ,0.2609    
4              ,617564         ,20             ,10             ,0              ,0              ,2.0000    ,0.2667    
5              ,617564         ,20             ,10             ,0              ,0              ,2.0000    ,0.2667    
6              ,617562         ,22             ,10             ,0              ,0              ,2.2000    ,0.2813    
7              ,617561         ,23             ,10             ,0              ,0              ,2.3000    ,0.2727    
8              ,617559         ,25             ,10             ,0              ,0              ,2.5000    ,0.2571    
9              ,617557         ,27             ,10             ,0              ,0              ,2.7000    ,0.2703    
10             ,617555         ,29             ,10             ,0              ,0              ,2.9000    ,0.2564    
11             ,617555         ,29             ,10             ,0              ,0              ,2.9000    ,0.2564    
12             ,617549         ,35             ,10             ,0              ,0              ,3.5000    ,0.2222    
13             ,617546         ,38             ,10             ,0              ,0              ,3.8000    ,0.2083    
14             ,617541         ,43             ,10             ,0              ,0              ,4.3000    ,0.1887    
15             ,617538         ,43             ,13             ,0              ,0              ,3.3077    ,0.1786    
16             ,617534         ,42             ,18             ,0              ,0              ,2.3333    ,0.1667    
17             ,617531         ,40             ,23             ,0              ,0              ,1.7391    ,0.1905    
18             ,617526         ,38             ,30             ,0              ,0              ,1.2667    ,0.1912    
19             ,617517         ,47             ,30             ,0              ,0              ,1.5667    ,0.2208    
20             ,617510         ,52             ,32             ,0              ,0              ,1.6250    ,0.2381    
21             ,617502         ,59             ,33             ,0              ,0              ,1.7879    ,0.2500    
22             ,617498         ,61             ,35             ,0              ,0              ,1.7429    ,0.2396    
23             ,617487         ,70             ,37             ,0              ,0              ,1.8919    ,0.2523    
24             ,617479         ,76             ,39             ,0              ,0              ,1.9487    ,0.2435    
25             ,617470         ,85             ,39             ,0              ,0              ,2.1795    ,0.2419    
26             ,617463         ,86             ,45             ,0              ,0              ,1.9111    ,0.2290    
27             ,617454         ,92             ,48             ,0              ,0              ,1.9167    ,0.2357    
28             ,617437         ,104            ,53             ,0              ,0              ,1.9623    ,0.2293    
29             ,617424         ,114            ,56             ,0              ,0              ,2.0357    ,0.2294    
30             ,617407         ,127            ,60             ,0              ,0              ,2.1167    ,0.2246    
31             ,617397         ,134            ,63             ,0              ,0              ,2.1270    ,0.2132    
32             ,617372         ,154            ,68             ,0              ,0              ,2.2647    ,0.2117    
33             ,617361         ,156            ,77             ,0              ,0              ,2.0260    ,0.2103    
34             ,617347         ,163            ,84             ,0              ,0              ,1.9405    ,0.2146    
35             ,617327         ,175            ,79             ,13             ,0              ,2.2152    ,0.2323    
36             ,617311         ,187            ,78             ,18             ,0              ,2.3974    ,0.2377    
37             ,617294         ,193            ,84             ,23             ,0              ,2.2976    ,0.2419    
38             ,617271         ,208            ,85             ,30             ,0              ,2.4471    ,0.2491    
39             ,617251         ,219            ,94             ,30             ,0              ,2.3298    ,0.2492    
40             ,617226         ,237            ,99             ,32             ,0              ,2.3939    ,0.2679    
41             ,617210         ,244            ,107            ,33             ,0              ,2.2804    ,0.2735    
