class edu.neu.info6205.model.Virus
name,Covid-19
R,0.0
superSpreaderRate,0.01
infectiousRadius,200.0
infectiousRate,0.4
recoveryRate,0.99
incidenceRate,0.8
latentPeriod,14.0
infectiousPeriod,20.0
class edu.neu.info6205.model.Residence
name,Boston
virus,edu.neu.info6205.model.Virus@29453f44
population,617594
density,5381.0
radius,10713.220361013016
residents,[Ledu.neu.info6205.model.Person;@5cad8086
susceptible,617584
exposed,0
infected,10
removed,0
dead,0
drawRadius,400.0
drawX,410.0
drawY,410.0
scale,0.03733704586677399
random,java.util.Random@61bbe9ba
class edu.neu.info6205.model.Measure
name,Boston-Measure
enable,true
barrierRate,0.5
maskUseRate,0.5
maskEffectiveness,0.8
contactTracking,0.3
vaccine,30879
vaccineEffectiveness,0.8
virusTesting,0
quarantineRate,0.5
Days           ,Susceptible    ,Exposed        ,Infected       ,Recovered      ,Dead           ,R         ,K         
1              ,617581         ,3              ,10             ,0              ,0              ,0.3000    ,0.1538    
2              ,592945         ,7              ,10             ,24632          ,0              ,0.7000    ,0.2941    
3              ,568287         ,10             ,10             ,49287          ,0              ,1.0000    ,0.3500    
4              ,543679         ,11             ,10             ,73894          ,0              ,1.1000    ,0.3333    
5              ,518881         ,12             ,10             ,98691          ,0              ,1.2000    ,0.3182    
6              ,494218         ,12             ,10             ,123354         ,0              ,1.2000    ,0.3182    
7              ,469662         ,15             ,10             ,147907         ,0              ,1.5000    ,0.3200    
8              ,445018         ,17             ,10             ,172549         ,0              ,1.7000    ,0.2963    
9              ,420287         ,17             ,10             ,197280         ,0              ,1.7000    ,0.2963    
10             ,395541         ,18             ,10             ,222025         ,0              ,1.8000    ,0.2857    
11             ,370669         ,20             ,10             ,246895         ,0              ,2.0000    ,0.2667    
12             ,345922         ,22             ,10             ,271640         ,0              ,2.2000    ,0.2500    
13             ,321142         ,27             ,10             ,296415         ,0              ,2.7000    ,0.2432    
14             ,296459         ,32             ,10             ,321093         ,0              ,3.2000    ,0.2143    
15             ,271745         ,29             ,13             ,345807         ,0              ,2.2308    ,0.2143    
16             ,247007         ,27             ,17             ,370543         ,0              ,1.5882    ,0.2045    
17             ,222258         ,25             ,20             ,395291         ,0              ,1.2500    ,0.2000    
18             ,197480         ,24             ,21             ,420069         ,0              ,1.1429    ,0.2000    
19             ,172663         ,25             ,22             ,444884         ,0              ,1.1364    ,0.2340    
20             ,147870         ,27             ,22             ,469675         ,0              ,1.2273    ,0.2653    
21             ,123224         ,24             ,25             ,494321         ,0              ,0.9600    ,0.2653    
22             ,98547          ,22             ,27             ,518998         ,0              ,0.8148    ,0.2653    
23             ,73830          ,25             ,27             ,543712         ,0              ,0.9259    ,0.2885    
24             ,49074          ,24             ,28             ,568468         ,0              ,0.8571    ,0.2885    
25             ,24491          ,22             ,30             ,593051         ,0              ,0.7333    ,0.2885    
26             ,4817           ,20             ,32             ,612725         ,0              ,0.6250    ,0.2885    
27             ,977            ,15             ,37             ,616565         ,0              ,0.4054    ,0.2885    
28             ,172            ,10             ,42             ,617370         ,0              ,0.2381    ,0.2885    
29             ,32             ,10             ,42             ,617510         ,0              ,0.2381    ,0.2885    
30             ,5              ,8              ,44             ,617537         ,0              ,0.1818    ,0.2885    
31             ,3              ,7              ,45             ,617539         ,0              ,0.1556    ,0.2885    
32             ,0              ,7              ,45             ,617542         ,0              ,0.1556    ,0.2885    
33             ,0              ,5              ,47             ,617542         ,0              ,0.1064    ,0.2885    
34             ,0              ,3              ,49             ,617542         ,0              ,0.0612    ,0.2885    
35             ,0              ,3              ,36             ,617555         ,0              ,0.0833    ,0.3333    
36             ,0              ,3              ,32             ,617559         ,0              ,0.0938    ,0.3714    
37             ,0              ,0              ,32             ,617562         ,0              ,0.0000    ,0.3750    
38             ,0              ,0              ,31             ,617563         ,0              ,0.0000    ,0.3871    
39             ,0              ,0              ,30             ,617563         ,1              ,0.0000    ,0.4000    
40             ,0              ,0              ,30             ,617563         ,1              ,0.0000    ,0.4000    
41             ,0              ,0              ,27             ,617566         ,1              ,0.0000    ,0.4074    
42             ,0              ,0              ,25             ,617568         ,1              ,0.0000    ,0.4400    
43             ,0              ,0              ,25             ,617568         ,1              ,0.0000    ,0.4400    
44             ,0              ,0              ,24             ,617569         ,1              ,0.0000    ,0.4583    
45             ,0              ,0              ,22             ,617571         ,1              ,0.0000    ,0.4545    
46             ,0              ,0              ,20             ,617573         ,1              ,0.0000    ,0.5000    
47             ,0              ,0              ,15             ,617578         ,1              ,0.0000    ,0.6000    
48             ,0              ,0              ,10             ,617583         ,1              ,0.0000    ,0.7000    
49             ,0              ,0              ,10             ,617583         ,1              ,0.0000    ,0.7000    
50             ,0              ,0              ,8              ,617585         ,1              ,0.0000    ,0.7500    
51             ,0              ,0              ,7              ,617586         ,1              ,0.0000    ,0.7143    
52             ,0              ,0              ,7              ,617586         ,1              ,0.0000    ,0.7143    
53             ,0              ,0              ,5              ,617588         ,1              ,0.0000    ,0.8000    
54             ,0              ,0              ,3              ,617590         ,1              ,0.0000    ,0.6667    
55             ,0              ,0              ,3              ,617590         ,1              ,0.0000    ,0.6667    
56             ,0              ,0              ,3              ,617590         ,1              ,0.0000    ,0.6667    
57             ,0              ,0              ,0              ,617593         ,1              ,0.0000    ,0.0000    
